Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1831980,GCC393459,GCC40298,6/12.2oz XM AST mini SUB500,Co-Pack Finished Good,27540,0,27540,2019-Jul-20 12:00 AM,Open
1831979,GCC393457,GCC40251,10/5.9 XM MKCAR FB SNWM 400 WM,Co-Pack Finished Good,9403,0,9403,2019-Jul-20 12:00 AM,Open
1831978,GCC393362,GCC62107,12/4.25oz ASST SQ SM Gift Box,Co-Pack Finished Good,1200,0,1200,2019-Jul-20 12:00 AM,Open
1831977,GCC393360,GCC41147,78/XM ASST SQ SUB400 DSPLY,Co-Pack Finished Good,4763,0,4763,2019-Jul-20 12:00 AM,Open
1831976,GCC393346,GCC41092,180/6FL ED MED SUB QTRPL,Co-Pack Finished Good,500,0,500,2019-Jul-20 12:00 AM,Open
1831975,GCC393355,GCC41098,72ct/3.5OZ MXD ID BAR DSPLY,Co-Pack Finished Good,300,0,300,2019-Jun-20 12:00 AM,Open
1831974,GCC393341,GCC41091,72/4FL ED MED SUB DSPLY,Co-Pack Finished Good,1000,0,1000,2019-Jul-20 12:00 AM,Open
1831973,GCC393319,GCC40928,45/MXD ED XL SUB DSPLY,Co-Pack Finished Good,1623,0,1623,2019-Jul-20 12:00 AM,Open
1831972,GCC393330,GCC41024,63/MXD CvrCH Pch DSPLY,Co-Pack Finished Good,200,0,200,2019-Jul-20 12:00 AM,Open
1831971,GCC393314,GCC40861,72/BKG MXD CHIP DSPLY,Co-Pack Finished Good,2315,0,2315,2019-Jul-20 12:00 AM,Open
1831970,GCC393302,GCC40732,54/MXD Candymaking SHPR,Co-Pack Finished Good,1000,0,1000,2019-Jun-20 12:00 AM,Booked
1831969,GCC393297,GCC40002,73/ED MXD BR DSPLY,Co-Pack Finished Good,1025,0,1025,2019-Jul-20 12:00 AM,Open
1831968,GCC393225,GCC40936,12/12.7oz XM CAR TRIO SUB425,Co-Pack Finished Good,4500,0,4500,2019-Jul-20 12:00 AM,Open
1831967,GCC393216,GCC40642,24/0.83oz XM PBK SUB050 PDQ,Co-Pack Finished Good,21645,0,21645,2019-Jul-20 12:00 AM,Open
1831966,GCC393214,GCC40636,3/13.15oz XM COL PBK SUB550 WM,Co-Pack Finished Good,7018,0,7018,2019-Jul-20 12:00 AM,Open
1831965,GCC393224,GCC40935,12/10.5oz XM AST HOL SUB425,Co-Pack Finished Good,6500,0,6500,2019-Jul-20 12:00 AM,Open
1831964,GCC393212,GCC40628,10/7.7oz XM DK PBK SUB400 WM,Co-Pack Finished Good,5010,0,5010,2019-Jul-20 12:00 AM,Open
1831963,GCC393202,GCC40270,12/7.7oz XM MK PBRO SUB400,Co-Pack Finished Good,5830,0,5830,2019-Jul-20 12:00 AM,Open
1831962,GCC393197,GCC40247,12/4.9 XM MKCAR FB SNWM SUB300,Co-Pack Finished Good,4562,0,4562,2019-Jul-20 12:00 AM,Open
1831961,GCC392332,GCC61864,6/5.32oz MLKCAR SQ SUB Nest,Co-Pack Finished Good,35000,0,35000,2019-Jul-22 12:00 AM,Open
1831960,GCC392028,GCC41054,360/BKG CHIP DSPLY QTRPL,Co-Pack Finished Good,1000,0,1000,2019-Jul-20 12:00 AM,Open
1831959,GCC392023,GCC41053,402/MXD BKG DSPLY QTRPL,Co-Pack Finished Good,438,0,438,2019-Jun-20 12:00 AM,Open
1831958,GCC391953,GCC62493,6/4.12oz ID 86% Mid Rev SUB,Co-Pack Finished Good,8000,0,8000,2019-Jul-20 12:00 AM,Open
1831957,GCC391945,GCC62303,6/4.85oz CLSC ASST SQ SUB,Co-Pack Finished Good,20000,0,20000,2019-Jul-20 12:00 AM,Open
1831956,GCC391941,GCC61868,6/5.32oz DK RASP SQ SUB Nest,Co-Pack Finished Good,27000,0,27000,2019-Jul-20 12:00 AM,Open
1831955,GCC391937,GCC61867,6/5.32oz MNT SQ SUB Nest,Co-Pack Finished Good,31150,0,31150,2019-Jul-20 12:00 AM,Open
1831954,GCC391932,GCC61865,6/5.32oz DRKCAR SQ SUB Nest,Co-Pack Finished Good,6000,0,6000,2019-Jul-20 12:00 AM,Open
1831953,GCC391928,GCC61857,6/4.12oz ID SS Soiree SUB Nest,Co-Pack Finished Good,25000,0,25000,2019-Jul-20 12:00 AM,Open
1831952,GCC391910,GCC40925,12/12.7oz Mk Car LG ED CS DSC,Co-Pack Finished Good,4500,0,4500,2019-Jul-20 12:00 AM,Open
1831951,GCC391895,GCC40889,5/5.32oz DK RASP SUB SRC,Co-Pack Finished Good,20000,0,20000,2019-Jul-20 12:00 AM,Open
1831950,GCC391908,GCC40894,5/4.12oz ID SS Soir SUB SRC,Co-Pack Finished Good,14000,0,14000,2019-Jul-20 12:00 AM,Open
1831949,GCC391886,GCC40813,6/4.1oz ID 92% MED SUB,Co-Pack Finished Good,6500,0,6500,2019-Jul-20 12:00 AM,Open
1831948,GCC391877,GCC62273,6/15.77oz XL CLSC ASST SUB FD,Co-Pack Finished Good,15800,0,15800,2019-Jul-20 12:00 AM,Open
1831947,GCC391874,GCC61980,1/26.6oz DK SS Car SQ 50ct CDY,Co-Pack Finished Good,5000,0,5000,2019-Jul-20 12:00 AM,Open
1831946,GCC391870,GCC61979,1/26.6oz Mk Car SQ 50ct CDY,Co-Pack Finished Good,19000,0,19000,2019-Jul-20 12:00 AM,Open
1831945,GCC391839,GCC40898,3/15.9oz CAR DUO XL SUB SRC,Co-Pack Finished Good,2500,0,2500,2019-Jul-20 12:00 AM,Open
1831944,GCC391029,GCC83011,12/100ct Asst SqrBag Mini FG,Retail Packaging,270,0,270,2019-Jul-20 12:00 AM,Open
1831943,GCC390757,GCC40948,12/10.5OZ ED ID SS SOIR CS DSC,Co-Pack Finished Good,2500,0,2500,2019-Jul-22 12:00 AM,Open
