Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1813095,GCC395798,GCC40815,192ct M&C IMPULSE SHIPPER,Co-Pack Finished Good,408,407,1,2019-Jun-19 09:00 PM,Closed
1813094,GCC395921,GCC84907,12/80ct WntrVilg FG 19,Retail Packaging,938,0,938,2019-Jun-20 12:00 AM,Open
1813093,GCC395951,GCC61534,280/10/15.01 XL-C ID SSS SUB,Co-Pack Finished Good,11,0,11,2019-Jun-15 09:00 PM,Open
1813092,GCC396171,GCC40166,6/4.3oz MK SS ALM mini SUB,Co-Pack Finished Good,7000,0,7000,2019-Jun-27 09:00 PM,Booked
1813091,GCC396040,GCC61121,12/7.06oz XMS PBARK SUB (CAN),Co-Pack Finished Good,3432,0,3432,2019-Jun-15 09:00 PM,Booked
1813088,GCC396198,GCC40928,45/MXD ED XL SUB DSPLY,Co-Pack Finished Good,290,0,290,2019-Jun-15 09:00 PM,Open
1813087,GCC396311,GCC41156,12/5.7oz XM PBK FB SNWM SUB400,Co-Pack Finished Good,9890,0,9890,2019-Jun-20 12:00 AM,Open
1813086,GCC396314,GCC61946,24/1.06oz XM MCAR SUB050,Co-Pack Finished Good,12785,184,12601,2019-Jun-19 09:00 PM,Booked
1813085,GCC396312,GCC41185,12/8.6oz XM AST CLA SUB400,Co-Pack Finished Good,7852,7852,0,2019-Jun-15 09:00 PM,Booked
1813083,GCC396431,GCC61979,1/26.6oz Mk Car SQ 50ct CDY,Co-Pack Finished Good,22000,0,22000,2019-Jun-15 09:00 PM,Booked
1813082,GCC396420,GCC40470,200/10/18.1oz XL-C Gold Sams,Co-Pack Finished Good,200,0,200,2019-Jun-15 09:00 PM,Booked
1813080,GCC396499,GCC62313,24/1.0oz DK SS CAR XSML PDQ,Co-Pack Finished Good,1919,0,1919,2019-Jun-15 09:00 PM,Open
1813079,GCC396544,GCC41281,280/14/19.14 ED ID ASST SUB710,Co-Pack Finished Good,30,0,30,2019-Jun-15 09:00 PM,Open
1813078,GCC396545,GCC41282,280/14/19.14 ID w/SSS SUB710,Co-Pack Finished Good,30,0,30,2019-Jun-15 09:00 PM,Booked
